Symbol,Name,Exchange
DDD,3D Systems Corporation,NASDAQ
MMM,3M Company,NASDAQ
WBAI,500.com Limited,NASDAQ
WUBA,58.com Inc.,NASDAQ
EGHT,8x8 Inc,NASDAQ
AHC,A.H. Belo Corporation,NASDAQ
AOS,A.O Smith Corporation,NASDAQ
ATEN,"A10 Networks, Inc.",NASDAQ
AIR,AAR Corp.,NASDAQ
AAN,"Aaron&#39;s,  Inc.",NASDAQ
ABB,ABB Ltd,NASDAQ
ABT,Abbott Laboratories,NASDAQ
ABBV,AbbVie Inc.,NASDAQ
ANF,Abercrombie & Fitch Company,NASDAQ
AGD,Aberdeen Global Dynamic Dividend Fund,NASDAQ
AWP,Aberdeen Global Premier Properties Fund,NASDAQ
ACP,Aberdeen Income Credit Strategies Fund,NASDAQ
JEQ,"Aberdeen Japan Equity Fund, Inc. ",NASDAQ
AOD,Aberdeen Total Dynamic Dividend Fund,NASDAQ
ABM,ABM Industries Incorporated,NASDAQ
AKR,Acadia Realty Trust,NASDAQ
ACEL,"Accel Entertainment, Inc.",NASDAQ
ACEL.WS,"Accel Entertainment, Inc.",NASDAQ
ACN,Accenture plc,NASDAQ
ACCO,Acco Brands Corporation,NASDAQ
ATV,"Acorn International, Inc.",NASDAQ
AYI,"Acuity Brands, Inc. ",NASDAQ
GOLF,Acushnet Holdings Corp.,NASDAQ
ADX,"Adams Diversified Equity Fund, Inc.",NASDAQ
PEO,"Adams Natural Resources Fund, Inc.",NASDAQ
AGRO,Adecoagro S.A.,NASDAQ
ADNT,Adient plc,NASDAQ
ADT,ADT Inc.,NASDAQ
ATGE,Adtalem Global Education Inc.,NASDAQ
AAP,Advance Auto Parts Inc,NASDAQ
ADSW,"Advanced Disposal Services, Inc.",NASDAQ
WMS,"Advanced Drainage Systems, Inc.",NASDAQ
ASIX,AdvanSix Inc.,NASDAQ
AVK,Advent Convertible and Income Fund,NASDAQ
ACM,AECOM,NASDAQ
AEFC,Aegon Funding Company LLC,NASDAQ
AEB,Aegon NV,NASDAQ
AEG,Aegon NV,NASDAQ
AER,Aercap Holdings N.V.,NASDAQ
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",NASDAQ
AMG,"Affiliated Managers Group, Inc.",NASDAQ
MGR,"Affiliated Managers Group, Inc.",NASDAQ
AFL,Aflac Incorporated,NASDAQ
MITT,"AG Mortgage Investment Trust, Inc.",NASDAQ
MITT^A,"AG Mortgage Investment Trust, Inc.",NASDAQ
MITT^B,"AG Mortgage Investment Trust, Inc.",NASDAQ
MITT^C,"AG Mortgage Investment Trust, Inc.",NASDAQ
AGCO,AGCO Corporation,NASDAQ
A,"Agilent Technologies, Inc.",NASDAQ
AEM,Agnico Eagle Mines Limited,NASDAQ
ADC,Agree Realty Corporation,NASDAQ
AL,Air Lease Corporation,NASDAQ
AL^A,Air Lease Corporation,NASDAQ
APD,"Air Products and Chemicals, Inc.",NASDAQ
AYR,Aircastle Limited,NASDAQ
ALP^Q,Alabama Power Company,NASDAQ
ALG,"Alamo Group, Inc.",NASDAQ
AGI,Alamos Gold Inc.,NASDAQ
ALK,"Alaska Air Group, Inc.",NASDAQ
AIN,Albany International Corporation,NASDAQ
ALB,Albemarle Corporation,NASDAQ
AA,Alcoa Corporation,NASDAQ
ALC,Alcon Inc.,NASDAQ
ALEX,"Alexander & Baldwin, Inc.",NASDAQ
ALX,"Alexander&#39;s, Inc.",NASDAQ
ARE,"Alexandria Real Estate Equities, Inc.",NASDAQ
AQN,Algonquin Power & Utilities Corp.,NASDAQ
AQNA,Algonquin Power & Utilities Corp.,NASDAQ
AQNB,Algonquin Power & Utilities Corp.,NASDAQ
BABA,Alibaba Group Holding Limited,NASDAQ
Y,Alleghany Corporation,NASDAQ
ATI,Allegheny Technologies Incorporated,NASDAQ
ALLE,Allegion plc,NASDAQ
AGN,Allergan plc.,NASDAQ
ALE,"Allete, Inc.",NASDAQ
ADS,Alliance Data Systems Corporation,NASDAQ
AFB,Alliance National Municipal Income Fund Inc,NASDAQ
AWF,Alliance World Dollar Government Fund II,NASDAQ
AB,AllianceBernstein Holding L.P.,NASDAQ
AIO,AllianzGI Artificial Intelligence & Tech Opp Fd,NASDAQ
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,NASDAQ
NCV,AllianzGI Convertible & Income Fund,NASDAQ
NCV^A,AllianzGI Convertible & Income Fund,NASDAQ
NCZ,AllianzGI Convertible & Income Fund II,NASDAQ
NCZ^A,AllianzGI Convertible & Income Fund II,NASDAQ
ACV,AllianzGI Diversified Income & Convertible Fund,NASDAQ
NIE,AllianzGI Equity & Convertible Income Fund,NASDAQ
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",NASDAQ
ALSN,"Allison Transmission Holdings, Inc.",NASDAQ
ALL,Allstate Corporation (The),NASDAQ
ALL^B,Allstate Corporation (The),NASDAQ
ALL^G,Allstate Corporation (The),NASDAQ
ALL^H,Allstate Corporation (The),NASDAQ
ALL^I,Allstate Corporation (The),NASDAQ
ALLY,Ally Financial Inc.,NASDAQ
ALLY^A,Ally Financial Inc.,NASDAQ
PINE,"Alpine Income Property Trust, Inc.",NASDAQ
ALTG,Alta Equipment Group Inc.,NASDAQ
ALTG.WS,Alta Equipment Group Inc.,NASDAQ
AYX,"Alteryx, Inc.",NASDAQ
ATUS,"Altice USA, Inc.",NASDAQ
MO,Altria Group,NASDAQ
ACH,Aluminum Corporation of China Limited,NASDAQ
ALUS,Alussa Energy Acquisition Corp.,NASDAQ
ALUS.U,Alussa Energy Acquisition Corp.,NASDAQ
ALUS.WS,Alussa Energy Acquisition Corp.,NASDAQ
AMBC,"Ambac Financial Group, Inc.",NASDAQ
AMBC.WS,"Ambac Financial Group, Inc.",NASDAQ
ABEV,Ambev S.A.,NASDAQ
AMC,"AMC Entertainment Holdings, Inc.",NASDAQ
AMCR,Amcor plc,NASDAQ
AEE,Ameren Corporation,NASDAQ
AMRC,"Ameresco, Inc.",NASDAQ
AMOV,"America Movil, S.A.B. de C.V.",NASDAQ
AMX,"America Movil, S.A.B. de C.V.",NASDAQ
AAT,"American Assets Trust, Inc.",NASDAQ
AXL,"American Axle & Manufacturing Holdings, Inc.",NASDAQ
ACC,American Campus Communities Inc,NASDAQ
AEO,"American Eagle Outfitters, Inc.",NASDAQ
AEP,"American Electric Power Company, Inc.",NASDAQ
AEP^B,"American Electric Power Company, Inc.",NASDAQ
AEL,American Equity Investment Life Holding Company,NASDAQ
AEL^A,American Equity Investment Life Holding Company,NASDAQ
AXP,American Express Company,NASDAQ
AFG,"American Financial Group, Inc.",NASDAQ
AFGB,"American Financial Group, Inc.",NASDAQ
AFGC,"American Financial Group, Inc.",NASDAQ
AFGH,"American Financial Group, Inc.",NASDAQ
AMH,American Homes 4 Rent,NASDAQ
AMH^D,American Homes 4 Rent,NASDAQ
AMH^E,American Homes 4 Rent,NASDAQ
AMH^F,American Homes 4 Rent,NASDAQ
AMH^G,American Homes 4 Rent,NASDAQ
AMH^H,American Homes 4 Rent,NASDAQ
AIG,"American International Group, Inc.",NASDAQ
AIG.WS,"American International Group, Inc.",NASDAQ
AIG^A,"American International Group, Inc.",NASDAQ
ARL,"American Realty Investors, Inc.",NASDAQ
ARA,"American Renal Associates Holdings, Inc",NASDAQ
AWR,American States Water Company,NASDAQ
AMT,American Tower Corporation (REIT),NASDAQ
AVD,American Vanguard Corporation,NASDAQ
AWK,American Water Works,NASDAQ
COLD,Americold Realty Trust,NASDAQ
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",NASDAQ
ABC,AmerisourceBergen Corporation (Holding Co),NASDAQ
RYCE,Amira Nature Foods Ltd,NASDAQ
AMN,AMN Healthcare Services Inc,NASDAQ
AMRX,"Amneal Pharmaceuticals, Inc.",NASDAQ
AP,Ampco-Pittsburgh Corporation,NASDAQ
APH,Amphenol Corporation,NASDAQ
AXR,AMREP Corporation,NASDAQ
HKIB,AMTD International Inc.,NASDAQ
AME,"AMTEK, Inc.",NASDAQ
PLAN,"Anaplan, Inc.",NASDAQ
FINS,Angel Oak Financial Strategies Income Term Trust,NASDAQ
AU,AngloGold Ashanti Limited,NASDAQ
BUD,Anheuser-Busch Inbev SA,NASDAQ
AXE,Anixter International Inc.,NASDAQ
NLY,Annaly Capital Management Inc,NASDAQ
NLY^D,Annaly Capital Management Inc,NASDAQ
NLY^F,Annaly Capital Management Inc,NASDAQ
NLY^G,Annaly Capital Management Inc,NASDAQ
NLY^I,Annaly Capital Management Inc,NASDAQ
AM,Antero Midstream Corporation,NASDAQ
AR,Antero Resources Corporation,NASDAQ
ANTM,"Anthem, Inc.",NASDAQ
ANH,Anworth Mortgage Asset  Corporation,NASDAQ
ANH^A,Anworth Mortgage Asset  Corporation,NASDAQ
ANH^B,Anworth Mortgage Asset  Corporation,NASDAQ
ANH^C,Anworth Mortgage Asset  Corporation,NASDAQ
AON,Aon plc,NASDAQ
APA,Apache Corporation,NASDAQ
AIV,Apartment Investment and Management Company,NASDAQ
APY,Apergy Corporation,NASDAQ
APHA,Aphria Inc.,NASDAQ
ARI,Apollo Commercial Real Estate Finance,NASDAQ
APO,"Apollo Global Management, Inc",NASDAQ
APO^A,"Apollo Global Management, Inc",NASDAQ
APO^B,"Apollo Global Management, Inc",NASDAQ
AFT,Apollo Senior Floating Rate Fund Inc.,NASDAQ
AIF,Apollo Tactical Income Fund Inc.,NASDAQ
APLE,"Apple Hospitality REIT, Inc.",NASDAQ
AIT,"Applied Industrial Technologies, Inc.",NASDAQ
ATR,"AptarGroup, Inc.",NASDAQ
APTV,Aptiv PLC,NASDAQ
WAAS,AquaVenture Holdings Limited,NASDAQ
ARMK,Aramark,NASDAQ
ABR,Arbor Realty Trust,NASDAQ
ABR^A,Arbor Realty Trust,NASDAQ
ABR^B,Arbor Realty Trust,NASDAQ
ABR^C,Arbor Realty Trust,NASDAQ
ARC,"ARC Document Solutions, Inc.",NASDAQ
MT,ArcelorMittal,NASDAQ
ARCH,"Arch Coal, Inc.",NASDAQ
ADM,Archer-Daniels-Midland Company,NASDAQ
AROC,"Archrock, Inc.",NASDAQ
ARNC,Arconic Inc.,NASDAQ
ARNC$,Arconic Inc.,NASDAQ
ARCO,Arcos Dorados Holdings Inc.,NASDAQ
ACA,"Arcosa, Inc.",NASDAQ
RCUS,"Arcus Biosciences, Inc.",NASDAQ
ARD,Ardagh Group S.A.,NASDAQ
ASC,Ardmore Shipping Corporation,NASDAQ
AFC,Ares Capital Corporation,NASDAQ
ACRE,Ares Commercial Real Estate Corporation,NASDAQ
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",NASDAQ
ARES,Ares Management Corporation,NASDAQ
ARES^A,Ares Management Corporation,NASDAQ
AGX,"Argan, Inc.",NASDAQ
ARGD,"Argo Group International Holdings, Ltd.",NASDAQ
ARGO,"Argo Group International Holdings, Ltd.",NASDAQ
ANET,"Arista Networks, Inc.",NASDAQ
AI,Arlington Asset Investment Corp,NASDAQ
AI^B,Arlington Asset Investment Corp,NASDAQ
AI^C,Arlington Asset Investment Corp,NASDAQ
AIC,Arlington Asset Investment Corp,NASDAQ
AIW,Arlington Asset Investment Corp,NASDAQ
ARLO,"Arlo Technologies, Inc.",NASDAQ
AHH,"Armada Hoffler Properties, Inc.",NASDAQ
AHH^A,"Armada Hoffler Properties, Inc.",NASDAQ
ARR,"ARMOUR Residential REIT, Inc.",NASDAQ
ARR^C,"ARMOUR Residential REIT, Inc.",NASDAQ
AFI,"Armstrong Flooring, Inc.",NASDAQ
AWI,Armstrong World Industries Inc,NASDAQ
ARW,"Arrow Electronics, Inc.",NASDAQ
AJG,Arthur J. Gallagher & Co.,NASDAQ
APAM,Artisan Partners Asset Management Inc.,NASDAQ
ASA,ASA Gold and Precious Metals Limited,NASDAQ
ABG,Asbury Automotive Group Inc,NASDAQ
ASX,"ASE Technology Holding Co., Ltd.",NASDAQ
ASGN,ASGN Incorporated,NASDAQ
AHT,Ashford Hospitality Trust Inc,NASDAQ
AHT^D,Ashford Hospitality Trust Inc,NASDAQ
AHT^F,Ashford Hospitality Trust Inc,NASDAQ
AHT^G,Ashford Hospitality Trust Inc,NASDAQ
AHT^H,Ashford Hospitality Trust Inc,NASDAQ
AHT^I,Ashford Hospitality Trust Inc,NASDAQ
ASH,Ashland Global Holdings Inc.,NASDAQ
ASPN,"Aspen Aerogels, Inc.",NASDAQ
AHL^C,Aspen Insurance Holdings Limited,NASDAQ
AHL^D,Aspen Insurance Holdings Limited,NASDAQ
AHL^E,Aspen Insurance Holdings Limited,NASDAQ
AMK,"AssetMark Financial Holdings, Inc.",NASDAQ
ASB,Associated Banc-Corp,NASDAQ
ASB^C,Associated Banc-Corp,NASDAQ
ASB^D,Associated Banc-Corp,NASDAQ
ASB^E,Associated Banc-Corp,NASDAQ
AC,"Associated Capital Group, Inc.",NASDAQ
AIZ,"Assurant, Inc.",NASDAQ
AIZP,"Assurant, Inc.",NASDAQ
AGO,Assured Guaranty Ltd.,NASDAQ
AGO^B,Assured Guaranty Ltd.,NASDAQ
AGO^E,Assured Guaranty Ltd.,NASDAQ
AGO^F,Assured Guaranty Ltd.,NASDAQ
AZN,Astrazeneca PLC,NASDAQ
HOME,At Home Group Inc.,NASDAQ
T,AT&T Inc.,NASDAQ
T^A,AT&T Inc.,NASDAQ
T^C,AT&T Inc.,NASDAQ
TBB,AT&T Inc.,NASDAQ
TBC,AT&T Inc.,NASDAQ
ATTO,Atento S.A.,NASDAQ
ATH,Athene Holding Ltd.,NASDAQ
ATH^A,Athene Holding Ltd.,NASDAQ
ATH^B,Athene Holding Ltd.,NASDAQ
ATKR,Atkore International Group Inc.,NASDAQ
AT,Atlantic Power Corporation,NASDAQ
ATCO,Atlas Corp.,NASDAQ
ATCO^D,Atlas Corp.,NASDAQ
ATCO^E,Atlas Corp.,NASDAQ
ATCO^G,Atlas Corp.,NASDAQ
ATCO^H,Atlas Corp.,NASDAQ
ATCO^I,Atlas Corp.,NASDAQ
ATO,Atmos Energy Corporation,NASDAQ
ACB,Aurora Cannabis Inc.,NASDAQ
ATHM,Autohome Inc.,NASDAQ
ALV,"Autoliv, Inc.",NASDAQ
AN,"AutoNation, Inc.",NASDAQ
AZO,"AutoZone, Inc.",NASDAQ
AVLR,"Avalara, Inc.",NASDAQ
AVB,"AvalonBay Communities, Inc.",NASDAQ
AGR,"Avangrid, Inc.",NASDAQ
AVNS,"Avanos Medical, Inc.",NASDAQ
AVTR,"Avantor, Inc.",NASDAQ
AVTR^A,"Avantor, Inc.",NASDAQ
AVYA,Avaya Holdings Corp.,NASDAQ
AVY,Avery Dennison Corporation,NASDAQ
AVH,Avianca Holdings S.A.,NASDAQ
AVA,Avista Corporation,NASDAQ
AVX,AVX Corporation,NASDAQ
AXTA,Axalta Coating Systems Ltd.,NASDAQ
AXS,Axis Capital Holdings Limited,NASDAQ
AXS^E,Axis Capital Holdings Limited,NASDAQ
AX,"Axos Financial, Inc.",NASDAQ
AXO,"Axos Financial, Inc.",NASDAQ
AZUL,Azul S.A.,NASDAQ
AZRE,Azure Power Global Limited,NASDAQ
AZZ,AZZ Inc.,NASDAQ
BGS,"B&G Foods, Inc.",NASDAQ
BW,Babcock,NASDAQ
BGH,Babson Global Short Duration High Yield Fund,NASDAQ
BMI,"Badger Meter, Inc.",NASDAQ
BCSF,"Bain Capital Specialty Finance, Inc.",NASDAQ
BKR,Baker Hughes Company,NASDAQ
BBN,BalckRock Taxable Municipal Bond Trust,NASDAQ
BLL,Ball Corporation,NASDAQ
BANC,"Banc of California, Inc.",NASDAQ
BANC^D,"Banc of California, Inc.",NASDAQ
BANC^E,"Banc of California, Inc.",NASDAQ
BBAR,Banco BBVA Argentina S.A.,NASDAQ
BBVA,Banco Bilbao Viscaya Argentaria S.A.,NASDAQ
BBD,Banco Bradesco Sa,NASDAQ
BBDO,Banco Bradesco Sa,NASDAQ
BCH,Banco De Chile,NASDAQ
BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",NASDAQ
BSBR,Banco Santander Brasil SA,NASDAQ
